Id,Name and Surname,Beginning year,Played until,Birthday,html
2574,Raef LaFrentz,1999,2008,"May 29, 1976",/players/l/lafrera01.html
2575,Tom LaGarde,1978,1985,"February 10, 1955",/players/l/lagarto01.html
2576,Jake LaRavia,2023,2023,"November 3, 2001",/players/l/laravja01.html
2577,Rusty LaRue,1998,2004,"December 10, 1973",/players/l/larueru01.html
2578,Rudy LaRusso,1960,1969,"November 11, 1937",/players/l/larusru01.html
2579,Zach LaVine,2015,2023,"March 10, 1995",/players/l/lavinza01.html
2580,Skal Labissière,2017,2020,"March 18, 1996",/players/l/labissk01.html
2581,Reggie Lacefield,1969,1969,"April 10, 1945",/players/l/lacefre01.html
2582,Edgar Lacey,1969,1969,"August 2, 1944",/players/l/laceyed01.html
2583,Sam Lacey,1971,1983,"March 28, 1948",/players/l/laceysa01.html
2584,Bob Lackey,1973,1974,"April 4, 1949",/players/l/lackebo01.html
2585,Wendell Ladner,1971,1975,"October 6, 1948",/players/l/ladnewe01.html
2586,Christian Laettner,1993,2005,"August 17, 1969",/players/l/laettch01.html
2587,Oliver Lafayette,2010,2010,"May 6, 1984",/players/l/lafayol01.html
2588,Bill Laimbeer,1981,1994,"May 19, 1957",/players/l/laimbbi01.html
2589,Pete Lalich,1947,1947,"June 23, 1920",/players/l/lalicpe01.html
2590,Bo Lamar,1974,1977,"April 7, 1951",/players/l/lamarbo01.html
2591,Anthony Lamb,2021,2023,"January 20, 1998",/players/l/lamban01.html
2592,Doron Lamb,2013,2014,"November 6, 1991",/players/l/lambdo01.html
2593,Jeremy Lamb,2013,2022,"May 30, 1992",/players/l/lambje01.html
2594,John Lambert,1976,1982,"January 14, 1953",/players/l/lambejo01.html
2595,Jeff Lamp,1982,1989,"March 9, 1959",/players/l/lampje01.html
2596,Maciej Lampe,2004,2006,"February 5, 1985",/players/l/lampema01.html
2597,Jim Lampley,1987,1987,"July 2, 1960",/players/l/lamplji01.html
2598,Sean Lampley,2003,2004,"September 3, 1979",/players/l/lamplse01.html
2599,Jock Landale,2022,2023,"October 25, 1995",/players/l/landajo01.html
2600,Carl Landry,2008,2016,"September 19, 1983",/players/l/landrca01.html
2601,Marcus Landry,2010,2010,"November 1, 1985",/players/l/landrma01.html
2602,Mark Landsberger,1978,1984,"May 21, 1955",/players/l/landsma01.html
2603,Jerome Lane,1989,1993,"December 4, 1966",/players/l/laneje01.html
2604,Andrew Lang,1989,2000,"June 28, 1966",/players/l/langan01.html
2605,Antonio Lang,1995,2000,"May 15, 1972",/players/l/langan02.html
2606,James Lang,2007,2007,"October 17, 1983",/players/l/langja01.html
2607,Trajan Langdon,2000,2002,"May 13, 1976",/players/l/langdtr01.html
2608,Keith Langford,2008,2008,"September 15, 1983",/players/l/langfke01.html
2609,Romeo Langford,2020,2023,"October 25, 1999",/players/l/langfro01.html
2610,Dan Langhi,2001,2004,"November 28, 1977",/players/l/langhda01.html
2611,Bob Lanier*,1971,1984,"September 10, 1948",/players/l/laniebo01.html
2612,Stu Lantz,1969,1976,"July 13, 1946",/players/l/lantzst01.html
2613,Nicolás Laprovíttola,2017,2017,"January 31, 1990",/players/l/laproni01.html
2614,York Larese,1962,1962,"July 18, 1938",/players/l/laresyo01.html
2615,Shane Larkin,2014,2018,"October 2, 1992",/players/l/larkish01.html
2616,John Laskowski,1976,1977,"June 7, 1953",/players/l/laskojo01.html
2617,Stéphane Lasme,2008,2008,"December 17, 1982",/players/l/lasmest01.html
2618,Dave Lattin,1968,1973,"December 23, 1943",/players/l/lattida01.html
2619,Priest Lauderdale,1997,1998,"August 31, 1973",/players/l/laudepr01.html
2620,Rich Laurel,1978,1978,"July 11, 1954",/players/l/laureri01.html
2621,Harry Laurie,1971,1971,"November 2, 1944",/players/l/lauriha01.html
2622,Walt Lautenbach,1950,1950,"November 17, 1922",/players/l/lautewa01.html
2623,Joffrey Lauvergne,2015,2018,"September 30, 1991",/players/l/lauvejo01.html
2624,Tony Lavelli,1950,1951,"July 11, 1926",/players/l/lavelto01.html
2625,Bob Lavoy,1951,1954,"June 29, 1926",/players/l/lavoybo01.html
2626,Acie Law,2008,2011,"January 25, 1985",/players/l/lawac01.html
2627,Vic Law,2020,2020,"December 19, 1995",/players/l/lawvi01.html
2628,Gani Lawal,2011,2011,"November 7, 1988",/players/l/lawalga01.html
2629,Edmund Lawrence,1981,1981,"December 8, 1952",/players/l/lawreed01.html
2630,A.J. Lawson,2023,2023,"July 15, 2000",/players/l/lawsoaj01.html
2631,Jason Lawson,1998,1998,"September 2, 1974",/players/l/lawsoja01.html
2632,Ty Lawson,2010,2017,"November 3, 1987",/players/l/lawsoty01.html
2633,Jake Layman,2017,2022,"March 7, 1994",/players/l/laymaja01.html
2634,Mo Layton,1972,1978,"December 24, 1948",/players/l/laytomo01.html
2635,Caris LeVert,2017,2023,"August 25, 1994",/players/l/leverca01.html
2636,T.J. Leaf,2018,2021,"April 30, 1997",/players/l/leaftj01.html
2637,Manny Leaks,1969,1974,"November 27, 1945",/players/l/leaksma01.html
2638,Hal Lear,1957,1957,"January 31, 1935",/players/l/learha01.html
2639,Allen Leavell,1980,1989,"May 27, 1957",/players/l/leaveal01.html
2640,Jeff Lebo,1990,1990,"October 5, 1966",/players/l/leboje01.html
2641,Eric Leckner,1989,1997,"May 27, 1966",/players/l/leckner01.html
2642,Jalen Lecque,2020,2021,"June 13, 2000",/players/l/lecquja01.html
2643,Ricky Ledo,2014,2015,"September 10, 1992",/players/l/ledori01.html
2644,Butch Lee,1979,1980,"December 5, 1956",/players/l/leebu01.html
2645,Clyde Lee,1967,1976,"March 14, 1944",/players/l/leecl01.html
2646,Courtney Lee,2009,2020,"October 3, 1985",/players/l/leeco01.html
2647,Damion Lee,2018,2023,"October 21, 1992",/players/l/leeda03.html
2648,Dave Lee,1968,1969,"March 31, 1942",/players/l/leeda01.html
2649,David Lee,2006,2017,"April 29, 1983",/players/l/leeda02.html
2650,Dick Lee,1968,1968,,/players/l/leedi01.html
2651,Doug Lee,1992,1995,"October 24, 1964",/players/l/leedo01.html
2652,George Lee,1961,1968,"November 23, 1936",/players/l/leege01.html
2653,Greg Lee,1975,1976,"December 12, 1951",/players/l/leegr01.html
2654,Keith Lee,1986,1989,"December 28, 1962",/players/l/leeke01.html
2655,Kurk Lee,1991,1991,"June 3, 1967",/players/l/leeku01.html
2656,Malcolm Lee,2012,2015,"May 22, 1990",/players/l/leema01.html
2657,Rock Lee,1982,1982,"May 1, 1955",/players/l/leero02.html
2658,Ron Lee,1977,1982,"November 2, 1952",/players/l/leero01.html
2659,Russ Lee,1973,1975,"January 27, 1950",/players/l/leeru01.html
2660,Saben Lee,2021,2023,"June 23, 1999",/players/l/leesa01.html
2661,Ed Leede,1950,1951,"July 17, 1927",/players/l/leedeed01.html
2662,Hank Lefkowitz,1947,1947,"August 31, 1923",/players/l/lefkoha01.html
2663,Tim Legler,1990,2000,"December 26, 1966",/players/l/legleti01.html
2664,George Lehmann,1968,1974,"May 1, 1942",/players/l/lehmage01.html
2665,Barry Leibowitz,1968,1968,"September 10, 1945",/players/l/leiboba01.html
2666,Walt Lemon Jr.,2018,2019,"July 26, 1992",/players/l/lemonwa01.html
2667,Alex Len,2014,2023,"June 16, 1993",/players/l/lenal01.html
2668,Voshon Lenard,1996,2006,"May 14, 1973",/players/l/lenarvo01.html
2669,Leary Lentz,1968,1969,"February 23, 1945",/players/l/lentzle01.html
2670,Gary Leonard,1990,1992,"February 16, 1967",/players/l/leonaga01.html
2671,Kawhi Leonard,2012,2023,"June 29, 1991",/players/l/leonaka01.html
2672,Meyers Leonard,2013,2023,"February 27, 1992",/players/l/leoname01.html
2673,Slick Leonard*,1957,1963,"July 17, 1932",/players/l/leonasl01.html
2674,Jim Les,1989,1995,"August 18, 1963",/players/l/lesji01.html
2675,Travis Leslie,2012,2012,"March 29, 1990",/players/l/leslitr01.html
2676,Ronnie Lester,1981,1986,"January 1, 1959",/players/l/lestero01.html
2677,Clifford Lett,1990,1991,"December 23, 1965",/players/l/lettcl01.html
2678,Jon Leuer,2012,2019,"May 14, 1989",/players/l/leuerjo01.html
2679,Andrew Levane,1949,1953,"April 11, 1920",/players/l/levanan01.html
2680,Fat Lever,1983,1994,"August 18, 1960",/players/l/leverfa01.html
2681,Cliff Levingston,1983,1995,"January 4, 1961",/players/l/levincl01.html
2682,Bobby Lewis,1968,1971,"March 20, 1945",/players/l/lewisbo01.html
2683,Cedric Lewis,1996,1996,"September 24, 1969",/players/l/lewisce01.html
2684,Freddie Lewis,1949,1950,"January 6, 1921",/players/l/lewisfr01.html
2685,Freddie Lewis,1967,1977,"July 1, 1943",/players/l/lewisfr02.html
2686,Grady Lewis,1947,1949,"March 25, 1917",/players/l/lewisgr01.html
2687,Kira Lewis Jr.,2021,2023,"April 6, 2001",/players/l/lewiski01.html
2688,Martin Lewis,1996,1997,"April 28, 1975",/players/l/lewisma01.html
2689,Mike Lewis,1969,1974,"March 18, 1946",/players/l/lewismi01.html
2690,Quincy Lewis,2000,2004,"June 26, 1977",/players/l/lewisqu01.html
2691,Ralph Lewis,1988,1990,"March 28, 1963",/players/l/lewisra01.html
2692,Rashard Lewis,1999,2014,"August 8, 1979",/players/l/lewisra02.html
2693,Reggie Lewis,1988,1993,"November 21, 1965",/players/l/lewisre01.html
2694,Scottie Lewis,2022,2022,"March 12, 2000",/players/l/lewissc01.html
2695,Marcus Liberty,1991,1994,"October 27, 1968",/players/l/liberma01.html
2696,Todd Lichti,1990,1994,"January 8, 1967",/players/l/lichtto01.html
2697,DeAndre Liggins,2012,2018,"March 31, 1988",/players/l/liggide01.html
2698,Bill Ligon,1975,1975,"May 29, 1952",/players/l/ligonbi01.html
2699,Goose Ligon,1968,1974,"February 22, 1944",/players/l/ligongo01.html
2700,Damian Lillard,2013,2023,"July 15, 1990",/players/l/lillada01.html
2701,Jeremy Lin,2011,2019,"August 23, 1988",/players/l/linje01.html
2702,Steve Lingenfelter,1983,1984,"June 10, 1958",/players/l/lingest01.html
2703,Alton Lister,1982,1998,"October 1, 1958",/players/l/listeal01.html
2704,Nassir Little,2020,2023,"February 11, 2000",/players/l/littlna01.html
2705,Sammy Little,1970,1970,"March 29, 1946",/players/l/littlsa01.html
2706,Gene Littles,1970,1975,"June 29, 1943",/players/l/littlge01.html
2707,Isaiah Livers,2022,2023,"July 28, 1998",/players/l/liveris01.html
2708,Randy Livingston,1997,2007,"April 2, 1975",/players/l/livinra01.html
2709,Shaun Livingston,2005,2019,"September 11, 1985",/players/l/livinsh01.html
2710,Ron Livingstone,1950,1951,"October 9, 1925",/players/l/livinro01.html
2711,Horacio Llamas,1997,1998,"July 17, 1973",/players/l/llamaho01.html
2712,Bobby Lloyd,1968,1969,"January 3, 1946",/players/l/lloydbo01.html
2713,Chuck Lloyd,1971,1971,"May 22, 1947",/players/l/lloydch01.html
2714,Earl Lloyd*,1951,1960,"April 3, 1928",/players/l/lloydea01.html
2715,Lewis Lloyd,1982,1990,"February 22, 1959",/players/l/lloydle01.html
2716,Scott Lloyd,1977,1983,"December 19, 1952",/players/l/lloydsc01.html
2717,Riney Lochmann,1968,1970,"May 26, 1944",/players/l/lochmri01.html
2718,Bob Lochmueller,1953,1953,"June 5, 1927",/players/l/lochmbo01.html
2719,Rob Lock,1989,1989,"May 22, 1966",/players/l/lockro01.html
2720,Darrell Lockhart,1984,1984,"September 14, 1960",/players/l/lockhda01.html
2721,Ian Lockhart,1991,1991,"June 25, 1967",/players/l/lockhia01.html
2722,Kevin Loder,1982,1984,"March 15, 1959",/players/l/loderke01.html
2723,Don Lofgran,1951,1954,"November 8, 1929",/players/l/lofgrdo01.html
2724,Kenneth Lofton Jr.,2023,2023,"August 14, 2002",/players/l/loftoke01.html
2725,Zach Lofton,2019,2019,"November 18, 1992",/players/l/loftoza01.html
2726,Henry Logan,1969,1970,"March 14, 1946",/players/l/loganhe01.html
2727,John Logan,1947,1951,"January 1, 1921",/players/l/loganjo01.html
2728,Brad Lohaus,1988,1998,"September 29, 1964",/players/l/lohaubr01.html
2729,Art Long,2001,2003,"October 1, 1972",/players/l/longar01.html
2730,Grant Long,1989,2003,"March 12, 1966",/players/l/longgr01.html
2731,John Long,1979,1997,"August 28, 1956",/players/l/longjo01.html
2732,Paul Long,1968,1971,"February 8, 1944",/players/l/longpa01.html
2733,Shawn Long,2017,2017,"January 29, 1993",/players/l/longsh01.html
2734,Willie Long,1972,1974,"March 1, 1950",/players/l/longwi01.html
2735,Luc Longley,1992,2001,"January 19, 1969",/players/l/longllu01.html
2736,Kevon Looney,2016,2023,"February 6, 1996",/players/l/looneke01.html
2737,Brook Lopez,2009,2023,"April 1, 1988",/players/l/lopezbr01.html
2738,Felipe López,1999,2002,"December 19, 1974",/players/l/lopezfe01.html
2739,Raül López,2004,2005,"April 15, 1980",/players/l/lopezra01.html
2740,Robin Lopez,2009,2023,"April 1, 1988",/players/l/lopezro01.html
2741,Ryan Lorthridge,1995,1995,"July 27, 1972",/players/l/lorthry01.html
2742,Jim Loscutoff,1956,1964,"February 4, 1930",/players/l/loscuji01.html
2743,Plummer Lott,1968,1969,"December 11, 1945",/players/l/lottpl01.html
2744,Kevin Loughery,1963,1973,"March 28, 1940",/players/l/loughke01.html
2745,Didi Louzada,2021,2022,"February 7, 1999",/players/l/louzama01.html
2746,Bob Love,1967,1977,"December 8, 1942",/players/l/lovebo01.html
2747,Kevin Love,2009,2023,"September 7, 1988",/players/l/loveke01.html
2748,Stan Love,1972,1975,"April 9, 1949",/players/l/lovest01.html
2749,Clyde Lovellette*,1954,1964,"September 7, 1929",/players/l/lovelcl01.html
2750,Sidney Lowe,1984,1990,"January 21, 1960",/players/l/lowesi01.html
2751,Charlie Lowery,1972,1972,"November 12, 1949",/players/l/lowerch01.html
2752,Kyle Lowry,2007,2023,"March 25, 1986",/players/l/lowryky01.html
2753,Jordan Loyd,2019,2019,"July 27, 1993",/players/l/loydjo01.html
2754,Al Lucas,1949,1949,"July 4, 1922",/players/l/lucasal01.html
2755,Jerry Lucas*,1964,1974,"March 30, 1940",/players/l/lucasje01.html
2756,John Lucas,1977,1990,"October 31, 1953",/players/l/lucasjo01.html
2757,Kalin Lucas,2015,2019,"May 24, 1989",/players/l/lucaska01.html
2758,Maurice Lucas,1975,1988,"February 18, 1952",/players/l/lucasma01.html
2759,John Lucas III,2006,2017,"November 21, 1982",/players/l/lucasjo02.html
2760,Ted Luckenbill,1962,1963,"July 27, 1939",/players/l/luckete01.html
2761,Tyronn Lue,1999,2009,"May 3, 1977",/players/l/luety01.html
2762,Jim Luisi,1954,1954,"November 2, 1928",/players/l/luisiji01.html
2763,Al Lujack,1947,1947,"October 5, 1920",/players/l/lujacal01.html
2764,Phil Lumpkin,1975,1976,"December 20, 1951",/players/l/lumpkph01.html
2765,Ray Lumpp,1949,1953,"July 11, 1923",/players/l/lumppra01.html
2766,Gabriel Lundberg,2022,2022,"December 4, 1994",/players/l/lundbga01.html
2767,Timothé Luwawu-Cabarrot,2017,2022,"May 9, 1995",/players/l/luwawti01.html
2768,Tyler Lydon,2018,2019,"April 9, 1996",/players/l/lydonty01.html
2769,Trey Lyles,2016,2023,"November 5, 1995",/players/l/lylestr01.html
2770,R.B. Lynam,1968,1968,,/players/l/lynamrb01.html
2771,George Lynch,1994,2005,"September 3, 1970",/players/l/lynchge01.html
2772,Kevin Lynch,1992,1993,"December 24, 1968",/players/l/lynchke01.html
2773,Lonnie Lynn,1970,1970,"May 24, 1943",/players/l/lynnlo01.html
2774,Mike Lynn,1970,1971,"November 25, 1945",/players/l/lynnmi01.html
2775,Sheldon Mac,2017,2017,"December 21, 1992",/players/m/mcclesh01.html
2776,Todd MacCulloch,2000,2003,"January 27, 1976",/players/m/maccuto01.html
2777,Ronnie MacGilvray,1955,1955,"July 20, 1930",/players/m/macgiro01.html
2778,Don MacLean,1993,2001,"January 16, 1970",/players/m/macledo01.html
2779,Mike Macaluso,1974,1974,"July 20, 1951",/players/m/macalmi01.html
2780,Ed Macauley*,1950,1959,"March 22, 1928",/players/m/macaued01.html
2781,Scott Machado,2013,2019,"June 8, 1990",/players/m/machasc01.html
2782,Arvydas Macijauskas,2006,2006,"January 19, 1980",/players/m/macijar01.html
2783,Ollie Mack,1980,1982,"June 6, 1957",/players/m/mackol01.html
2784,Sam Mack,1993,2002,"May 26, 1970",/players/m/macksa01.html
2785,Shelvin Mack,2012,2019,"April 22, 1990",/players/m/macksh01.html
2786,Malcolm Mackey,1994,1994,"July 11, 1970",/players/m/mackema01.html
2787,Rudy Macklin,1982,1984,"February 19, 1958",/players/m/macklru01.html
2788,Vernon Macklin,2012,2012,"September 20, 1986",/players/m/macklve01.html
2789,Johnny Macknowski,1950,1951,"January 7, 1923",/players/m/macknjo01.html
2790,Daryl Macon,2019,2020,"November 29, 1995",/players/m/maconda01.html
2791,Mark Macon,1992,1999,"April 14, 1969",/players/m/maconma01.html
2792,J.P. Macura,2019,2020,"June 5, 1995",/players/m/macurjp01.html
2793,Kyle Macy,1981,1987,"April 9, 1957",/players/m/macyky01.html
2794,Jack Maddox,1949,1949,"December 10, 1919",/players/m/maddoja01.html
2795,Tito Maddox,2003,2003,"June 7, 1981",/players/m/maddoti01.html
2796,Gerald Madkins,1994,1998,"April 18, 1969",/players/m/madkige01.html
2797,Mark Madsen,2001,2009,"January 28, 1976",/players/m/madsema01.html
2798,Norm Mager,1951,1951,"March 23, 1926",/players/m/magerno01.html
2799,Josh Magette,2018,2020,"November 28, 1989",/players/m/magetjo01.html
2800,Corey Maggette,2000,2013,"November 12, 1979",/players/m/maggeco01.html
2801,Dave Magley,1983,1983,"November 24, 1959",/players/m/magleda01.html
2802,Jamaal Magloire,2001,2012,"May 21, 1978",/players/m/magloja01.html
2803,Will Magnay,2021,2021,"June 10, 1998",/players/m/magnawi01.html
2804,Randy Mahaffey,1968,1971,"September 28, 1945",/players/m/mahafra01.html
2805,Ian Mahinmi,2008,2020,"November 5, 1986",/players/m/mahinia01.html
2806,John Mahnken,1947,1953,"June 16, 1922",/players/m/mahnkjo01.html
2807,Brian Mahoney,1973,1973,"December 17, 1948",/players/m/mahonbr01.html
2808,Mo Mahoney,1953,1954,"November 20, 1927",/players/m/mahonmo01.html
2809,Rick Mahorn,1981,1999,"September 21, 1958",/players/m/mahorri01.html
2810,Dan Majerle,1989,2002,"September 9, 1965",/players/m/majerda01.html
2811,Renaldo Major,2007,2007,"May 7, 1982",/players/m/majorre01.html
2812,Thon Maker,2017,2021,"February 25, 1997",/players/m/makerth01.html
2813,Lionel Malamed,1949,1949,"November 15, 1924",/players/m/malamli01.html
2814,Théo Maledon,2021,2023,"June 12, 2001",/players/m/maledth01.html
2815,Jeff Malone,1984,1996,"June 28, 1961",/players/m/malonje01.html
2816,Karl Malone*,1986,2004,"July 24, 1963",/players/m/malonka01.html
2817,Moses Malone*,1975,1995,"March 23, 1955",/players/m/malonmo01.html
2818,Matt Maloney,1997,2003,"December 6, 1971",/players/m/malonma01.html
2819,Steve Malovic,1980,1980,"July 21, 1956",/players/m/malovst01.html
2820,Mike Maloy,1971,1973,"May 10, 1949",/players/m/maloymi01.html
2821,Sandro Mamukelashvili,2022,2023,"May 23, 1999",/players/m/mamuksa01.html
2822,Ted Manakas,1974,1974,"February 22, 1951",/players/m/manakte01.html
2823,John Mandic,1949,1950,"October 3, 1919",/players/m/mandijo01.html
2824,Karim Mané,2021,2021,"May 16, 2000",/players/m/maneka01.html
2825,Frank Mangiapane,1947,1947,"August 5, 1925",/players/m/mangifr01.html
2826,Terance Mann,2020,2023,"October 18, 1996",/players/m/mannte01.html
2827,Tre Mann,2022,2023,"February 3, 2001",/players/m/manntr01.html
2828,Danny Manning,1989,2003,"May 17, 1966",/players/m/mannida01.html
2829,Ed Manning,1968,1976,"January 2, 1944",/players/m/mannied01.html
2830,Guy Manning,1968,1969,"February 4, 1944",/players/m/mannigu01.html
2831,Rich Manning,1996,1997,"June 23, 1970",/players/m/manniri01.html
2832,Nico Mannion,2021,2021,"March 14, 2001",/players/m/mannini01.html
2833,Pace Mannion,1984,1989,"September 22, 1960",/players/m/mannipa01.html
2834,Nick Mantis,1960,1963,"December 7, 1935",/players/m/mantini01.html
2835,Pete Maravich*,1971,1980,"June 22, 1947",/players/m/maravpe01.html
2836,Press Maravich,1947,1947,"August 29, 1915",/players/m/maravpr01.html
2837,Devyn Marble,2015,2016,"September 21, 1992",/players/m/marblde01.html
2838,Roy Marble,1990,1994,"December 13, 1966",/players/m/marblro01.html
2839,Stephon Marbury,1997,2009,"February 20, 1977",/players/m/marbust01.html
2840,Šarūnas Marčiulionis*,1990,1997,"June 13, 1964",/players/m/marcisa01.html
2841,Saul Mariaschin,1948,1948,"September 1, 1924",/players/m/mariasa01.html
2842,Jack Marin,1967,1977,"October 12, 1944",/players/m/marinja01.html
2843,Shawn Marion,2000,2015,"May 7, 1978",/players/m/mariosh01.html
2844,Boban Marjanović,2016,2023,"August 15, 1988",/players/m/marjabo01.html
2845,Lauri Markkanen,2018,2023,"May 22, 1997",/players/m/markkla01.html
2846,Damir Markota,2007,2007,"December 26, 1985",/players/m/markoda01.html
2847,Sean Marks,1999,2011,"August 23, 1975",/players/m/marksse01.html
2848,Harvey Marlatt,1971,1973,"August 26, 1948",/players/m/marlaha01.html
2849,Jim Marsh,1972,1972,"April 26, 1946",/players/m/marshji01.html
2850,Ricky Marsh,1978,1978,"March 10, 1954",/players/m/marshri01.html
2851,Donny Marshall,1996,2003,"July 17, 1972",/players/m/marshdo02.html
2852,Donyell Marshall,1995,2009,"May 18, 1973",/players/m/marshdo01.html
2853,Kendall Marshall,2013,2016,"August 19, 1991",/players/m/marshke01.html
2854,Naji Marshall,2021,2023,"January 24, 1998",/players/m/marshna01.html
2855,Rawle Marshall,2006,2007,"February 20, 1982",/players/m/marshra01.html
2856,Tom Marshall,1955,1959,"January 6, 1931",/players/m/marshto01.html
2857,Vester Marshall,1974,1974,"December 22, 1948",/players/m/marshve01.html
2858,Bill Martin,1986,1988,"August 16, 1962",/players/m/martibi01.html
2859,Bob Martin,1994,1995,"October 7, 1969",/players/m/martibo01.html
2860,Brian Martin,1986,1986,"August 18, 1962",/players/m/martibr01.html
2861,Caleb Martin,2020,2023,"September 28, 1995",/players/m/martica02.html
2862,Cartier Martin,2009,2015,"November 20, 1984",/players/m/martica01.html
2863,Cody Martin,2020,2023,"September 28, 1995",/players/m/martico01.html
2864,Cuonzo Martin,1996,1997,"September 23, 1971",/players/m/marticu01.html
2865,Darrick Martin,1995,2008,"March 6, 1971",/players/m/martida01.html
2866,Dino Martin,1947,1948,"May 25, 1920",/players/m/martidi01.html
2867,Don Martin,1947,1949,"February 7, 1920",/players/m/martido01.html
2868,Fernando Martín,1987,1987,"March 25, 1962",/players/m/martife01.html
2869,Jarell Martin,2016,2019,"May 24, 1994",/players/m/martija01.html
2870,Jeff Martin,1990,1991,"January 14, 1967",/players/m/martije01.html
2871,Jeremiah Martin,2020,2021,"June 19, 1996",/players/m/martije02.html
2872,Kelan Martin,2020,2022,"August 3, 1995",/players/m/martike03.html
2873,Kenyon Martin,2001,2015,"December 30, 1977",/players/m/martike01.html
2874,Kenyon Martin Jr.,2021,2023,"January 6, 2001",/players/m/martike04.html
2875,Kevin Martin,2005,2016,"February 1, 1983",/players/m/martike02.html
2876,LaRue Martin,1973,1976,"March 30, 1950",/players/m/martila01.html
2877,Maurice Martin,1987,1988,"July 2, 1964",/players/m/martima01.html
2878,Phil Martin,1955,1955,"April 2, 1928",/players/m/martiph01.html
2879,Slater Martin*,1950,1960,"October 22, 1925",/players/m/martisl01.html
2880,Tyrese Martin,2023,2023,"March 7, 1999",/players/m/martity01.html
2881,Whitey Martin,1962,1962,"April 11, 1939",/players/m/martiwh01.html
2882,Jamal Mashburn,1994,2004,"November 29, 1972",/players/m/mashbja01.html
2883,Al Masino,1953,1954,"February 5, 1928",/players/m/masinal01.html
2884,Anthony Mason,1990,2003,"December 14, 1966",/players/m/masonan01.html
2885,Desmond Mason,2001,2010,"October 11, 1977",/players/m/masonde01.html
2886,Frank Mason III,2018,2021,"April 3, 1994",/players/m/masonfr01.html
2887,Roger Mason,2003,2014,"September 10, 1980",/players/m/masonro01.html
2888,Tony Massenburg,1991,2005,"July 31, 1967",/players/m/masseto01.html
2889,Eddie Mast,1971,1973,"October 3, 1948",/players/m/masted01.html
2890,Yante Maten,2019,2019,"August 14, 1996",/players/m/matenya01.html
2891,Garrison Mathews,2020,2023,"October 24, 1996",/players/m/mathega01.html
2892,Mangok Mathiang,2018,2018,"October 8, 1992",/players/m/mathima01.html
2893,Dakota Mathias,2021,2022,"July 11, 1995",/players/m/mathida01.html
2894,Johnny Mathis,1968,1968,"July 14, 1943",/players/m/mathijo01.html
2895,Bennedict Mathurin,2023,2023,"June 19, 2002",/players/m/mathube01.html
2896,Wes Matthews,1981,1990,"August 24, 1959",/players/m/matthwe01.html
2897,Wesley Matthews,2010,2023,"October 14, 1986",/players/m/matthwe02.html
2898,Ariel Maughan,1947,1951,"February 23, 1923",/players/m/maughar01.html
2899,Marlon Maxey,1993,1994,"February 19, 1969",/players/m/maxeyma01.html
2900,Tyrese Maxey,2021,2023,"November 4, 2000",/players/m/maxeyty01.html
2901,Jason Maxiell,2006,2015,"February 18, 1983",/players/m/maxieja01.html
2902,Cedric Maxwell,1978,1988,"November 21, 1955",/players/m/maxwece01.html
2903,Vernon Maxwell,1989,2001,"September 12, 1965",/players/m/maxweve01.html
2904,Don May,1969,1975,"January 3, 1946",/players/m/maydo01.html
2905,Scott May,1977,1983,"March 19, 1954",/players/m/maysc01.html
2906,Sean May,2006,2010,"April 4, 1984",/players/m/mayse01.html
2907,Lee Mayberry,1993,1999,"June 12, 1970",/players/m/maybele01.html
2908,Clyde Mayes,1976,1977,"March 17, 1953",/players/m/mayescl01.html
2909,Tharon Mayes,1992,1992,"September 9, 1968",/players/m/mayesth01.html
2910,Bill Mayfield,1981,1981,"October 17, 1957",/players/m/mayfibi01.html
2911,Ken Mayfield,1976,1976,"May 11, 1948",/players/m/mayfike01.html
2912,Eric Maynor,2010,2014,"June 11, 1987",/players/m/maynoer01.html
2913,O.J. Mayo,2009,2016,"November 5, 1987",/players/m/mayooj01.html
2914,Skylar Mays,2021,2023,"September 5, 1997",/players/m/mayssk01.html
2915,Travis Mays,1991,1993,"June 19, 1968",/players/m/maystr01.html
2916,Matt Mazza,1950,1950,"September 23, 1923",/players/m/mazzama01.html
2917,Luc Mbah a Moute,2009,2020,"September 9, 1986",/players/m/mbahalu01.html
2918,Bob McAdoo*,1973,1986,"September 25, 1951",/players/m/mcadobo01.html
2919,James Michael McAdoo,2015,2018,"January 4, 1993",/players/m/mcadoja01.html
2920,Ken McBride,1955,1955,"May 23, 1929",/players/m/mcbrike01.html
2921,Miles McBride,2022,2023,"September 8, 2000",/players/m/mcbrimi01.html
2922,Tahjere McCall,2019,2019,"August 17, 1994",/players/m/mccalta01.html
2923,Ray McCallum,2014,2016,"June 12, 1991",/players/m/mccalra01.html
2924,Bob McCann,1990,1998,"April 22, 1964",/players/m/mccanbo01.html
2925,Brendan McCann,1958,1960,"July 5, 1935",/players/m/mccanbr01.html
2926,Mel McCants,1990,1990,"August 19, 1967",/players/m/mccanme01.html
2927,Rashad McCants,2006,2009,"September 25, 1984",/players/m/mccanra01.html
2928,Mike McCarron,1947,1950,"March 2, 1922",/players/m/mccarmi01.html
2929,Andre McCarter,1977,1981,"August 25, 1953",/players/m/mccaran01.html
2930,Willie McCarter,1970,1972,"July 26, 1946",/players/m/mccarwi01.html
2931,Johnny McCarthy,1957,1964,"April 25, 1934",/players/m/mccarjo01.html
2932,Howie McCarty,1947,1947,"April 15, 1919",/players/m/mccarho01.html
